household_id,person_id,age,occupation,work_school_place
197,832,32,1,34
430,122,70,3,-1
197,165,10,5,81
431,809,34,1,1
395,480,64,1,3
87,69,66,3,-1
165,424,47,1,54
300,373,57,1,13
166,552,63,1,59
228,472,62,1,30
166,838,28,3,-1
431,458,52,1,15
300,672,18,5,80
268,54,74,3,-1
301,290,40,1,57
269,412,47,1,22
301,741,29,3,-1
269,889,39,1,0
302,704,38,1,45
270,976,81,3,-1
229,498,50,1,53
431,914,27,3,-1
88,881,38,1,36
395,522,59,1,64
88,344,63,1,1
396,410,44,1,34
88,697,23,5,78
396,824,36,1,31
302,242,9,5,81
397,268,95,3,-1
89,23,4,5,79
397,266,91,3,-1
89,24,1,5,79
398,898,38,1,19
432,419,51,1,63
270,970,81,3,-1
302,131,67,3,-1
271,602,43,1,22
303,711,30,1,7
89,246,98,3,-1
398,569,61,1,59
90,915,26,1,9
432,725,36,1,4
197,205,7,5,82
433,782,36,1,3
198,900,29,1,63
433,631,19,1,54
303,2,3,5,79
271,448,44,3,-1
398,780,34,1,77
90,497,51,3,-1
399,390,43,1,4
91,15,0,5,79
399,747,38,1,48
91,228,5,5,79
167,415,51,1,37
399,262,91,3,-1
91,353,43,3,-1
400,438,62,1,44
92,733,31,1,59
400,624,42,1,30
92,271,56,1,6
401,707,26,1,52
229,203,8,5,82
167,1,2,5,79
303,955,82,3,-1
272,341,62,3,-1
304,850,30,1,56
401,964,79,3,-1
92,145,9,5,81
198,853,35,1,3
304,172,10,5,82
272,549,63,3,-1
305,334,48,1,30
273,542,56,1,39
401,831,29,3,-1
167,769,22,5,78
229,57,72,3,-1
168,371,47,1,17
230,880,36,1,59
199,919,38,1,0
433,71,69,3,-1
199,169,6,5,81
434,598,61,1,40
93,166,11,5,83
402,622,44,1,40
168,826,21,5,78
402,515,55,1,19
93,528,63,3,-1
403,796,25,1,3
93,260,95,3,-1
230,683,17,5,80
168,968,81,3,-1
273,713,24,5,78
305,183,10,5,82
169,565,46,1,65
230,248,89,3,-1
306,532,44,1,36
273,509,64,3,-1
403,581,51,1,59
94,691,26,1,33
404,612,46,1,11
169,764,20,5,78
434,996,83,3,-1
199,920,25,3,-1
94,318,62,1,76
200,674,15,5,80
405,589,54,1,4
95,846,37,3,-1
169,317,57,3,-1
231,779,22,5,78
170,579,43,1,6
231,642,17,5,80
306,201,12,5,83
274,361,41,1,44
306,240,12,5,83
95,116,67,3,-1
405,326,41,1,41
96,487,41,1,22
406,732,28,1,9
96,284,59,3,-1
434,958,82,3,-1
97,890,33,1,33
435,379,62,1,8
200,308,40,3,-1
97,657,15,5,80
406,87,69,3,-1
98,928,30,1,14
407,754,31,1,48
98,174,11,5,83
201,215,11,5,83
435,128,69,3,-1
274,538,56,1,18
307,932,24,5,78
274,216,8,5,82
307,729,33,3,-1
275,916,34,1,62
308,514,50,1,60
275,712,34,1,39
308,645,15,5,80
276,583,62,3,-1
309,818,25,1,19
231,72,74,3,-1
170,694,23,5,78
232,885,37,1,77
171,196,14,5,80
407,942,80,3,-1
98,50,66,3,-1
436,829,37,1,50
201,76,72,3,-1
436,709,31,1,19
276,937,75,3,-1
309,847,34,1,42
277,867,34,1,14
310,349,50,1,71
436,104,73,3,-1
201,97,65,3,-1
437,516,61,3,-1
202,3,3,5,79
437,70,66,3,-1
232,121,67,3,-1
171,156,9,5,82
233,451,48,1,77
171,972,81,3,-1
310,641,17,5,80
277,693,20,5,78
310,671,18,5,80
407,251,93,3,-1
99,876,38,1,62
408,378,51,1,23
438,702,26,1,68
202,768,36,3,-1
408,468,64,1,9
99,649,15,5,80
408,315,49,1,25
100,321,59,1,19
409,300,56,1,16
172,597,62,1,21
233,182,9,5,81
438,600,45,3,-1
203,288,46,1,55
438,51,67,3,-1
172,161,9,5,82
233,27,4,5,79
172,265,95,3,-1
234,474,63,1,64
173,650,18,1,30
234,675,18,5,80
174,330,51,1,6
100,146,14,5,80
439,483,64,1,38
203,222,9,5,82
311,446,55,1,75
277,639,15,5,80
100,356,43,3,-1
409,259,89,3,-1
101,460,53,1,40
410,791,29,1,53
174,287,63,1,39
234,22,3,5,79
175,303,55,1,18
235,551,48,1,59
175,35,1,5,79
439,132,66,3,-1
203,678,15,5,80
278,845,36,1,15
311,395,62,1,37
278,77,67,3,-1
101,204,11,5,83
410,74,70,3,-1
101,17,2,5,79
411,440,61,1,21
102,501,51,1,16
204,485,52,1,38
175,95,65,3,-1
411,908,31,1,7
235,812,23,5,78
412,381,63,1,45
440,527,47,1,5
204,26,3,5,79
102,606,60,1,56
412,467,58,3,-1
103,585,55,1,40
413,830,29,1,33
103,807,29,1,60
413,44,72,3,-1
104,374,49,1,0
414,717,38,1,0
236,510,53,1,67
204,91,71,3,-1
440,840,25,1,76
205,383,56,1,38
237,925,33,1,14
415,537,61,1,53
104,940,82,3,-1
279,843,37,1,61
440,524,40,1,22
205,437,44,1,71
441,335,54,1,49
205,232,9,5,82
441,722,36,1,15
206,884,29,1,5
442,525,50,1,5
279,797,31,3,-1
311,219,14,5,80
280,879,30,1,68
312,790,35,1,39
280,223,10,5,82
312,38,0,5,79
442,756,29,1,46
206,953,84,3,-1
442,130,74,3,-1
207,53,72,3,-1
443,98,70,3,-1
208,930,23,1,0
443,63,74,3,-1
280,258,99,3,-1
312,8,0,5,79
281,313,42,1,22
105,194,11,5,83
415,801,28,3,-1
105,973,78,3,-1
415,94,71,3,-1
106,476,56,1,9
416,338,51,1,32
106,922,23,5,78
416,366,50,1,33
106,783,22,5,78
416,345,53,1,35
107,427,50,1,39
417,445,61,1,32
237,127,67,3,-1
176,180,5,5,79
238,519,46,1,4
176,210,12,5,83
208,496,61,3,-1
176,743,33,3,-1
238,572,52,1,43
177,352,57,1,8
239,500,44,1,1
209,13,0,5,79
443,489,40,3,-1
177,673,16,5,80
239,257,100,3,-1
177,630,17,5,80
240,897,32,1,3
178,461,45,1,33
240,946,84,3,-1
417,325,49,1,52
241,715,28,1,26
178,647,19,5,78
241,543,41,1,23
444,749,32,1,35
209,10,3,5,79
281,870,36,1,0
312,727,29,3,-1
282,799,37,1,2
313,906,37,1,69
282,771,24,5,78
107,377,55,1,12
418,883,39,1,5
444,389,60,3,-1
418,111,69,3,-1
108,170,12,5,83
241,681,15,5,80
178,323,56,3,-1
242,105,73,3,-1
179,256,91,3,-1
242,55,66,3,-1
418,929,39,3,-1
445,83,70,3,-1
419,494,47,1,22
108,285,42,3,-1
313,822,20,1,14
282,316,52,3,-1
314,332,53,1,2
283,508,53,3,-1
314,16,4,5,79
284,901,37,1,19
445,975,80,3,-1
209,133,71,3,-1
446,329,48,1,34
210,550,57,1,13
446,962,84,3,-1
419,760,38,1,43
108,357,60,3,-1
179,64,66,3,-1
420,279,49,1,50
447,529,43,1,32
210,886,29,1,64
447,978,77,3,-1
243,698,21,5,78
180,299,55,1,5
109,52,68,3,-1
420,994,81,3,-1
448,475,54,1,17
210,168,5,5,79
420,58,72,3,-1
314,199,7,5,81
180,680,19,5,78
315,360,49,1,52
243,988,84,3,-1
421,558,64,1,61
315,804,21,5,78
210,217,14,5,80
448,716,30,1,47
243,118,74,3,-1
109,875,28,3,-1
244,777,37,1,60
421,245,91,3,-1
316,684,17,5,80
449,687,34,1,17
211,601,53,1,36
449,450,49,3,-1
211,159,13,5,83
450,604,54,1,62
180,766,35,3,-1
421,88,66,3,-1
244,443,41,1,21
450,563,43,1,76
244,41,4,5,79
110,539,58,1,54
245,409,64,1,30
110,944,83,3,-1
181,124,65,3,-1
422,611,40,1,2
211,140,67,3,-1
450,965,78,3,-1
212,595,62,1,42
451,456,41,1,31
111,545,50,1,54
245,154,12,5,83
451,593,63,1,43
422,309,42,1,58
316,175,9,5,82
423,896,29,1,11
316,979,79,3,-1
181,48,71,3,-1
245,62,70,3,-1
111,322,54,1,26
246,151,12,5,83
317,814,24,5,78
182,173,8,5,81
423,858,33,1,35
317,113,70,3,-1
452,811,28,1,43
212,810,35,3,-1
246,842,25,3,-1
111,912,21,5,78
318,835,35,1,55
182,668,19,5,78
452,577,51,1,26
318,892,38,3,-1
246,470,49,3,-1
319,304,43,1,9
423,112,71,3,-1
452,274,41,3,-1
213,871,32,1,75
453,578,45,1,52
247,283,40,1,14
112,989,79,3,-1
182,969,76,3,-1
247,786,27,1,55
213,951,81,3,-1
454,350,62,1,21
214,935,39,1,22
454,114,67,3,-1
112,967,84,3,-1
455,364,58,1,33
214,153,6,5,81
455,471,55,3,-1
215,669,17,5,80
456,477,58,1,38
113,526,46,1,29
319,934,33,1,42
424,985,79,3,-1
320,488,47,1,62
113,186,8,5,82
247,177,9,5,82
320,397,40,1,34
183,436,55,1,35
113,32,1,5,79
456,849,26,1,0
215,452,42,3,-1
424,949,84,3,-1
321,541,41,1,21
456,548,50,1,44
215,625,41,3,-1
457,499,49,1,50
216,660,19,5,78
458,626,51,1,36
183,40,3,5,79
321,29,2,5,79
248,382,61,1,38
114,162,8,5,82
183,618,60,3,-1
458,376,46,1,52
216,971,79,3,-1
458,73,74,3,-1
217,587,50,1,62
248,689,22,5,78
114,952,83,3,-1
217,633,17,5,80
115,348,57,1,54
249,305,41,1,18
322,372,46,1,14
324,358,62,1,11
322,405,52,1,33
184,28,3,5,79
249,25,2,5,79
115,648,18,5,80
184,212,12,5,83
249,701,27,3,-1
324,263,97,3,-1
184,586,60,3,-1
115,252,88,3,-1
250,226,7,5,81
359,696,34,1,19
325,893,20,5,78
250,610,45,3,-1
116,432,51,1,5
359,152,11,5,83
116,882,21,5,78
325,982,80,3,-1
116,191,9,5,82
185,933,35,1,33
360,400,58,1,26
326,272,53,3,-1
360,667,16,5,80
117,363,57,1,17
326,941,81,3,-1
361,235,8,5,82
327,776,21,5,78
284,656,19,5,78
217,138,72,3,-1
361,939,78,3,-1
185,225,10,5,81
327,115,65,3,-1
251,899,36,1,69
117,441,52,1,21
251,417,40,3,-1
117,895,23,5,78
252,244,5,5,79
118,278,57,1,43
327,416,64,3,-1
362,813,22,3,-1
328,463,42,1,75
186,873,33,1,55
362,92,68,3,-1
328,207,11,5,83
363,275,43,1,50
118,37,0,5,79
252,423,51,3,-1
186,730,35,3,-1
363,36,3,5,79
218,620,51,1,51
328,455,58,3,-1
284,614,49,3,-1
218,904,26,3,-1
285,861,24,1,59
252,981,78,3,-1
219,457,58,1,46
285,393,45,1,34
219,865,22,5,78
286,319,57,1,18
363,547,46,3,-1
329,580,51,1,7
364,619,64,1,21
219,9,2,5,79
253,413,55,1,28
286,237,13,5,83
364,566,42,1,47
329,447,45,3,-1
365,761,32,1,50
330,143,11,5,83
365,425,63,3,-1
330,60,72,3,-1
366,571,56,1,5
331,740,34,1,32
366,370,40,1,43
459,408,62,1,30
253,442,41,1,20
459,56,68,3,-1
367,473,44,1,1
331,653,15,5,80
367,171,7,5,81
121,891,20,5,78
253,688,21,5,78
460,615,59,1,40
286,950,81,3,-1
220,778,32,1,29
460,85,69,3,-1
254,192,9,5,81
220,959,82,3,-1
461,506,52,1,76
254,755,32,3,-1
461,573,60,3,-1
367,770,34,3,-1
332,512,61,1,36
368,957,83,3,-1
332,302,55,1,2
121,21,1,5,79
287,298,63,1,24
333,486,45,1,48
368,254,96,3,-1
333,59,71,3,-1
287,745,30,1,4
122,714,22,5,78
334,582,58,1,60
369,643,19,5,78
461,977,84,3,-1
369,670,19,5,78
288,735,30,1,60
462,314,60,1,73
334,418,57,1,29
369,784,33,3,-1
334,632,18,5,80
370,320,40,1,66
462,312,63,1,75
288,805,24,5,78
288,708,27,3,-1
335,785,39,1,35
370,956,83,3,-1
462,556,56,3,-1
335,123,73,3,-1
122,67,67,3,-1
336,394,51,1,25
463,724,37,1,33
336,731,21,5,78
463,82,66,3,-1
371,685,15,5,80
336,75,65,3,-1
464,421,42,3,-1
123,282,46,1,32
371,84,67,3,-1
337,617,40,1,35
465,752,36,1,52
465,534,49,1,3
371,129,72,3,-1
123,817,29,3,-1
372,877,23,5,78
466,863,30,1,40
124,918,39,1,1
466,535,42,1,54
337,991,83,3,-1
466,974,78,3,-1
466,80,74,3,-1
338,292,50,1,51
372,844,20,5,78
467,564,49,1,15
467,86,72,3,-1
372,311,59,3,-1
338,628,52,1,1
468,821,32,1,19
468,399,53,3,-1
124,401,45,1,14
373,465,53,1,70
469,788,28,1,42
469,426,57,1,2
373,690,38,1,21
469,324,57,1,40
124,243,11,5,83
373,7,0,5,79
470,887,27,3,-1
470,753,25,3,-1
125,703,25,1,56
338,763,22,5,78
374,347,49,1,45
339,961,83,3,-1
125,18,0,5,79
339,746,37,3,-1
374,211,12,5,83
340,794,28,1,31
374,249,99,3,-1
126,699,30,3,-1
375,277,45,1,60
340,736,24,5,78
471,270,40,1,59
375,903,36,1,35
341,574,59,1,46
376,856,20,1,31
471,868,26,3,-1
341,333,50,1,74
376,375,58,1,23
471,596,43,3,-1
126,793,36,3,-1
471,894,26,3,-1
377,517,54,1,74
341,188,8,5,81
472,827,30,1,77
472,857,35,1,21
127,833,27,1,47
472,987,79,3,-1
342,544,51,1,22
377,158,12,5,83
473,998,83,3,-1
473,983,76,3,-1
378,479,55,1,59
473,110,74,3,-1
127,34,0,5,79
342,236,11,5,83
474,533,40,1,13
378,837,37,1,31
474,126,73,3,-1
127,634,18,5,80
378,686,15,5,80
343,491,42,1,46
128,280,46,1,1
343,659,15,5,80
475,719,38,1,13
475,997,79,3,-1
379,359,43,1,77
344,336,57,1,64
476,273,45,1,47
344,289,59,1,5
379,224,5,5,79
345,584,54,1,60
476,523,59,1,31
128,591,61,1,75
379,444,51,3,-1
345,449,60,3,-1
380,402,63,1,25
346,621,61,1,48
477,839,31,1,14
380,387,60,1,54
346,12,4,5,79
381,61,72,3,-1
477,431,55,1,67
477,433,57,1,48
128,775,21,5,78
347,286,53,1,65
381,945,84,3,-1
478,337,40,1,63
478,295,54,1,12
382,464,51,1,77
129,562,48,1,71
347,65,69,3,-1
478,553,48,1,64
129,30,2,5,79
382,220,6,5,81
348,554,52,1,43
479,100,73,3,-1
129,167,5,5,79
479,137,72,3,-1
129,666,15,5,80
348,646,19,5,78
382,157,10,5,81
348,909,36,3,-1
480,429,40,1,43
480,139,74,3,-1
480,995,81,3,-1
383,806,33,1,71
481,789,31,1,9
349,502,63,1,33
383,723,27,1,9
481,718,37,1,60
349,923,37,1,75
383,710,23,5,78
350,206,7,5,82
481,504,56,1,0
350,117,70,3,-1
383,635,17,5,80
351,250,87,3,-1
482,737,34,3,-1
384,241,9,5,81
351,49,67,3,-1
482,261,93,3,-1
482,478,55,3,-1
352,905,26,1,29
483,454,53,1,37
130,281,54,1,38
483,734,26,3,-1
130,568,62,1,62
483,135,74,3,-1
352,803,21,5,78
384,520,43,3,-1
484,575,42,1,65
484,705,37,1,49
484,869,30,1,45
352,742,22,5,78
130,4,1,5,79
385,490,52,1,43
352,99,65,3,-1
131,927,30,1,29
485,757,28,1,7
353,407,42,1,12
385,663,19,5,78
485,629,57,1,3
485,293,64,1,72
385,93,66,3,-1
353,331,61,1,55
386,189,6,5,81
486,391,43,3,-1
486,605,48,3,-1
386,800,30,3,-1
131,848,23,5,78
487,926,32,1,3
131,147,11,5,83
487,759,29,1,54
353,198,7,5,82
132,608,50,1,69
354,825,25,1,16
488,661,19,3,-1
488,495,46,3,-1
132,233,11,5,83
387,227,6,5,82
354,42,4,5,79
489,531,44,1,2
387,31,3,5,79
489,980,83,3,-1
387,954,75,3,-1
132,267,95,3,-1
354,68,74,3,-1
387,253,98,3,-1
490,774,36,1,11
355,555,52,1,45
388,301,51,1,15
355,588,62,1,34
491,396,51,1,12
491,984,82,3,-1
356,492,61,1,22
388,239,10,5,82
491,992,78,3,-1
356,767,28,1,22
389,592,57,1,67
492,459,60,1,20
389,229,11,5,83
492,878,22,1,56
356,692,23,5,78
389,45,69,3,-1
133,518,45,1,16
390,773,37,1,13
390,46,66,3,-1
133,902,31,1,2
134,385,57,1,55
134,546,53,1,69
134,202,11,5,83
135,406,53,1,33
135,181,14,5,80
135,108,73,3,-1
136,462,51,1,67
136,664,19,5,78
136,136,70,3,-1
137,327,53,1,19
137,530,56,1,46
138,613,52,1,33
138,738,23,5,78
138,808,24,5,78
139,187,12,5,83
139,392,54,3,-1
139,938,76,3,-1
140,603,62,1,49
140,888,28,3,-1
141,728,39,1,77
141,19,0,5,79
141,362,51,3,-1
142,434,49,1,61
142,238,8,5,81
143,815,34,1,7
143,652,18,5,80
143,264,87,3,-1
144,862,26,1,59
144,627,56,1,2
144,637,16,5,80
145,913,33,1,6
145,536,46,3,-1
146,859,36,1,4
146,144,9,5,82
146,185,14,5,80
147,435,42,1,50
147,570,41,1,50
148,834,29,1,48
148,160,10,5,81
149,195,5,5,79
149,230,8,5,82
149,986,81,3,-1
150,644,18,1,35
150,651,15,5,80
150,208,6,5,82
151,758,26,1,47
151,658,15,5,80
151,855,29,3,-1
152,184,11,5,83
152,640,19,5,78
152,594,41,3,-1
